      63 220101300017       1   16.50                                           
       5 230100500026       1  247.50                                           
      45 240600100080       1   28.30                                           
      41 240600100010       2   32.00                                           
     183 240200200039       3   63.60                                           
      79 240100400005       1  234.60                                           
      23 240800200062       1   35.40                                           
      23 240800200063       2   73.80                                           
      45 240500100004       2  127.00                                           
      45 240500200003       1   23.20                                           
      56 220200300002       2   75.00                                           
     183 230100600005       1  129.80                                           
      16 230100600018       2  128.40                                           
      79 240500200056       1   24.10                                           
     183 240200100233       2   91.80                                           
    2788 230100100025       2   60.60                                           
      20 230100300006       1   68.50                                           
   70046 240200100131       2  148.60                                           
   12386 220101400310       1   31.80                                           
      23 220200200024       3  178.50                                           
      36 240500100039       1   34.50                                           
      79 240200100076       4 1796.00                                           
      61 220200100092       1   83.00                                           
      61 220200300005       3  345.00                                           
      13 230100500082       1  126.10                                           
     171 240100100646       1  109.90                                           
   11171 240200100043       2  282.40                                           
   14703 220100100044       1  102.10                                           
   14703 220100400005       1   81.30                                           
      79 230100100006       1  176.00                                           
      79 230100500045       2    2.60                                           
      79 230100500068       2    3.40                                           
     928 230100600026       2  237.20                                           
   19444 220100700024       1   99.70                                           
   19444 220101000002       1   17.70                                           
      71 220200100179       1  134.50                                           
      12 220100100272       3   68.40                                           
      12 220101400269       4  268.00                                           
     544 230100500012       3  221.70                                           
     111 230100500096       1   35.50                                           
      88 240400200097       3 1250.40                                           
      23 240500200073       3  148.50                                           
      71 230100500093       2  265.60                                           
      23 240700400024       2  127.20                                           
      75 240500100062       2  109.20                                           
      75 240500200130       2   56.00                                           
      56 220101300017       2   33.00                                           
      56 220101400098       3   97.20                                           
      18 240500200121       2   50.80                                           
   17023 240200200007       2  166.80                                           
   17023 240200200061       2  261.80                                           
     171 220101200029       1   52.30                                           
   70108 240200200039       2   42.40                                           
    2806 240100400043       4 1064.00                                           
     215 230100500024       1   22.90                                           
     215 230100600015       1   78.20                                           
      13 230100600023       2  146.80                                           
      36 240400200057       2  257.00                                           
      36 240400200066       2   27.60                                           
      12 230100500095       2  193.80                                           
      61 230100500074       4  544.00                                           
      61 230100600005       2  259.60                                           
      79 210200900004       2   92.00                                           
      79 210201000050       2   39.00                                           
      31 220200300157       3  220.20                                           
     215 240500200100       2   45.40                                           
     111 220100900029       1   30.80                                           
    3959 240100100610       2  122.00                                           
    3959 240100400143       2  330.00                                           
      71 230100600017       2  111.40                                           
     215 240200100232       1   28.20                                           
   70187 240200200013       3 1266.00                                           
      20 220101400306       2  145.20                                           
      45 240200100051       3  420.90                                           
      52 230100600022       2  168.20                                           
      12 220101400060       3   96.30                                           
      12 220101400117       2   91.20                                           
      16 220200100035       2  125.20                                           
      16 220200100090       2  177.20                                           
      20 240700200024       2   32.00                                           
    2806 240100400076       2  224.60                                           
    2806 240100400143       2  330.00                                           
      61 230100700002       2  440.00                                           
      71 220200200018       2  132.80                                           
      36 230100600023       2  146.80                                           
      36 240800200008       1  150.25                                           
   70046 240200100052       1   99.70                                           
   70046 240200200015       1   24.00                                           
      52 220100100153       1   50.00                                           
   19444 220101200006       1   52.20                                           
      88 220100700052       1  106.10                                           
      52 240100100065       1   34.70                                           
   14703 220101400385       1   24.80                                           
   70108 220101200020       1   55.90                                           
      61 230100600036       1  103.20                                           
      11 230100200047       1   72.70                                           
      63 220200300116       1   84.20                                           
       5 240100100433       1    3.00                                           
     544 230100500091       1  191.00                                           
    1033 230100600005       1  129.80                                           
      17 220100100568       1   84.10                                           
   14703 220101400018       2   45.60                                           
      71 240100400080       1  219.90                                           
       5 240700300002       2   43.98                                           
      45 220200300079       2  128.60                                           
   70187 240200100154       2   53.20                                           
      71 220101400091       2   65.60                                           
      88 230100500087       1   93.80                                           
     183 220101400289       4  240.80                                           
     215 240200100180       2  243.20                                           
      17 240100400070       1  175.90                                           
     111 220100300008       4  342.80                                           
     111 220101400017       2   22.20                                           
       5 230100500093       2  265.60                                           
       5 230100600030       1   86.30                                           
     111 220100100298       2  105.80                                           
   70210 240200100052       2  199.40                                           
       5 220101400276       2  136.80                                           
      19 240300100020       4   56.40                                           
      19 240300100032       2 1200.20                                           
     183 240400300033       3  107.10                                           
     195 230100500008       1   38.00                                           
   70046 240200100124       2   49.00                                           
       5 240100400044       1  353.60                                           
       5 240100400049       1  421.20                                           
      45 230100100045       2  249.60                                           
      45 230100200019       2  398.20                                           
      45 230100500056       1    8.00                                           
      53 230100600022       4  336.40                                           
      49 220100200004       1    6.50                                           
      49 220100900006       1   88.40                                           
      49 220101400150       1   28.20                                           
      34 220100100197       1  101.30                                           
    2618 240100100581       1   28.00                                           
    2618 240100400147       1  248.30                                           
      89 230100100062       2  283.40                                           
     195 230100200059       2   77.60                                           
   70046 240200200039       1   22.20                                           
     171 230100500081       2  146.00                                           
      20 220100300025       2  206.00                                           
      23 230100100051       2  369.80                                           
      13 220200100229       1  165.50                                           
       4 240800200030       1   47.70                                           
       4 240600100017       1   53.00                                           
   70201 240200100226       1  183.90                                           
       4 240700200019       1   16.90                                           
      49 220100100125       1   33.40                                           
      49 220100100513       1   63.90                                           
      49 220100300019       1   35.60                                           
      92 230100600022       1   84.10                                           
